КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
280882,Киреевский ГПКО,"Тульская обл., район Киреевский, город Киреевск, улица Титова",312,28,16,,7,5,4,TRUE,TRUE,3,9,10,50,50,2,2,TRUE,391,11,4
277127,Парковый комплекс г.Волоколамск,"143600, Московская обл., район Волоколамский, город Волоколамск, улица Революционная, строение 5",365,"16,5",4,,4,2,1,,,1,5,5,,,1,1,,19,11,11
280454,Ярцевский ГПКО,"Смоленская обл., район Ярцевский, город Ярцево, улица Максима Горького",281,7,12,4,1,2,,,,1,6,4,,,7,2,TRUE,131,11,10
277856,ПКО г.Каргата,"632402, Новосибирская обл., район Каргатский, город Каргат, улица Транспортная, дом 14",365,"4,2",,,,,,,,,2,5,,,1,1,,2,11,11
270132,Шипуновский ПКО,"658391, Алтайский край, район Шипуновский, село Шипуново, пр. Комсомольский, 91",247,3,5,,2,,1,,,1,4,,,,2,2,,14,11,11
281279,"Парк культуры и отдыха ""Северный очаг""","629850, Ямало-Ненецкий а.о., район Пуровский, город Тарко-Сале, улица Тарасова, дом 13А",365,"2,4",12,,12,,,,,1,5,5,,,1,1,,542,11,11
279090,Новошахтинский ГПКО,"346918, Ростовская обл., город Новошахтинск, улица Советская, дом 14",306,"34,5",19,1,4,4,4,TRUE,,1,44,44,,,3,3,TRUE,248,10,10
277057,"ПКО, Лобня","141730, Московская обл., город Лобня, улица Чехова, дом 5",365,"24,7",22,1,14,4,3,TRUE,TRUE,4,57,27,30,,5,2,TRUE,297,10,10
283700,Рузаевский ПКО,"431450, Респ. Мордовия, город Рузаевка, улица Терешковой, дом 45",365,"14,4",19,1,6,1,1,,TRUE,3,5,3,,,3,1,TRUE,89,10,10
271510,Парк Северный,"680013, Хабаровский край, город Хабаровск, улица Ленинградская, дом 30",365,"12,1",5,,5,1,1,,,,,,,,2,2,TRUE,,10,10
271370,Городской парк им.Ю.Гагарина,"680038, Хабаровский край, город Хабаровск, улица Дзержинского, дом 68",365,"5,2",,,,,,,,,,,,,,,,,10,10
279334,"ПКО, п.Целина","347760, Ростовская обл., район Целинский, поселок Целина, улица Советская, дом 10",365,"4,5",14,,3,,,,,1,15,15,,,2,1,,208,10,9
271559,Амурский дендрарий,"682640, Хабаровский край, город Амурск, проспект Мира, дом 14",248,107,4,,2,,,,,1,,,,,3,1,TRUE,1641,9,9
284277,"Культурно-спортивный центр ""Можга""","427791, Удмуртская Респ., город Можга, улица Устюжанина, дом 2",365,"10,8",26,,,4,3,,TRUE,4,21,18,,,8,6,TRUE,150,9,9
283503,"ГПКО, Волжск","Респ. Марий Эл, город Волжск, улица Ленина",365,"9,5",7,5,,1,2,TRUE,TRUE,1,10,10,,,2,2,TRUE,11,9,9
277771,"ПКО им.И.Коротеева, Искитим","633209, Новосибирская обл., город Искитим, улица Пушкина, дом 65",365,9,15,3,6,1,1,,,2,2,2,,,1,1,TRUE,100,9,9
278685,Лысьвенский ПКО им.Пушкина,"618900, Пермский край, город Лысьва, улица Мира, дом 46",365,8,7,1,6,4,1,,TRUE,2,10,5,50,50,2,1,TRUE,45,9,5
277377,Лотошинский ПКО,"Московская обл., район Лотошинский, рабочий поселок Лотошино, улица Заводская",365,7,7,,6,,,,,,32,32,20,,2,2,TRUE,148,9,9
271154,"ПКО им.С.Гуцериева, аул Хабез","Карачаево-Черкесская Респ., район Хабезский, аул Хабез, ул. Умара Хабекова",365,"4,9",13,,12,,,,,,12,,,,1,1,,,9,1
276548,Городской парк г.Ельца,"399770, Липецкая обл., город Елец, улица Коммунаров, дом 12А",365,"3,1",38,,3,1,2,,,3,1,2,150,120,3,1,TRUE,569,9,6
270147,"ПКО им.Горького, с.Мамонтово","658560, Алтайский край, район Мамонтовский, село Мамонтово, улица Советская, владение 142",110,3,12,,,,,,,1,3,,,,2,2,,13,9,1
273338,Бутурлиновский культурный центр,"397500, Воронежская обл., район Бутурлиновский, город Бутурлиновка, улица Красная, дом 46",313,2,2,,1,1,,,,1,1,,,,1,1,TRUE,161,9,2
282676,"Тырныаузский ПКО ""Солнышко""","361624, Кабардино-Балкарская Респ., район Эльбрусский, город Тырныауз, проспект Эльбрусский, дом 74",216,"0,5",5,3,2,,,,,,,,,,1,1,TRUE,5,9,5
